Country ,world Population 2020
China,"1,439,323,776"
India,"1,380,004,385"
United States,"331,002,651"
Indonesia,"273,523,615"
Pakistan,"220,892,340"
Brazil,"212,559,417"
Nigeria,"206,139,589"
Bangladesh,"164,689,383"
Russia,"145,934,462"
Mexico,"128,932,753"
Japan,"126,476,461"
Ethiopia,"114,963,588"
Philippines,"109,581,078"
Egypt,"102,334,404"
Vietnam,"97,338,579"
DR Congo,"89,561,403"
Turkey,"84,339,067"
Iran,"83,992,949"
Germany,"83,783,942"
Thailand,"69,799,978"
United Kingdom,"67,886,011"
France,"65,273,511"
Italy,"60,461,826"
Tanzania,"59,734,218"
South Africa,"59,308,690"
Myanmar,"54,409,800"
Kenya,"53,771,296"
South Korea,"51,269,185"
Colombia,"50,882,891"
Spain,"46,754,778"
Uganda,"45,741,007"
Argentina,"45,195,774"
Algeria,"43,851,044"
Sudan,"43,849,260"
Ukraine,"43,733,762"
Iraq,"40,222,493"
Afghanistan,"38,928,346"
Poland,"37,846,611"
Canada,"37,742,154"
Morocco,"36,910,560"
Saudi Arabia,"34,813,871"
Uzbekistan,"33,469,203"
Peru,"32,971,854"
Angola,"32,866,272"
Malaysia,"32,365,999"
Mozambique,"31,255,435"
Ghana,"31,072,940"
Yemen,"29,825,964"
Nepal,"29,136,808"
Venezuela,"28,435,940"
Madagascar,"27,691,018"
Cameroon,"26,545,863"
Côte d'Ivoire,"26,378,274"
North Korea,"25,778,816"
Australia,"25,499,884"
Niger,"24,206,644"
Taiwan,"23,816,775"
Sri Lanka,"21,413,249"
Burkina Faso,"20,903,273"
Mali,"20,250,833"
Romania,"19,237,691"
Malawi,"19,129,952"
Chile,"19,116,201"
Kazakhstan,"18,776,707"
Zambia,"18,383,955"
Guatemala,"17,915,568"
Ecuador,"17,643,054"
Syria,"17,500,658"
Netherlands,"17,134,872"
Senegal,"16,743,927"
Cambodia,"16,718,965"
Chad,"16,425,864"
Somalia,"15,893,222"
Zimbabwe,"14,862,924"
Guinea,"13,132,795"
Rwanda,"12,952,218"
Benin,"12,123,200"
Burundi,"11,890,784"
Tunisia,"11,818,619"
Bolivia,"11,673,021"
Belgium,"11,589,623"
Haiti,"11,402,528"
Cuba,"11,326,616"
South Sudan,"11,193,725"
Dominican Republic,"10,847,910"
Czech Republic (Czechia),"10,708,981"
Greece,"10,423,054"
Jordan,"10,203,134"
Portugal,"10,196,709"
Azerbaijan,"10,139,177"
Sweden,"10,099,265"
Honduras,"9,904,607"
United Arab Emirates,"9,890,402"
Hungary,"9,660,351"
Tajikistan,"9,537,645"
Belarus,"9,449,323"
Austria,"9,006,398"
Papua New Guinea,"8,947,024"
Serbia,"8,737,371"
Israel,"8,655,535"
Switzerland,"8,654,622"
Togo,"8,278,724"
Sierra Leone,"7,976,983"
Hong Kong,"7,496,981"
Laos,"7,275,560"
Paraguay,"7,132,538"
Bulgaria,"6,948,445"
Libya,"6,871,292"
Lebanon,"6,825,445"
Nicaragua,"6,624,554"
Kyrgyzstan,"6,524,195"
El Salvador,"6,486,205"
Turkmenistan,"6,031,200"
Singapore,"5,850,342"
Denmark,"5,792,202"
Finland,"5,540,720"
Congo,"5,518,087"
Slovakia,"5,459,642"
Norway,"5,421,241"
Oman,"5,106,626"
State of Palestine,"5,101,414"
Costa Rica,"5,094,118"
Liberia,"5,057,681"
Ireland,"4,937,786"
Central African Republic,"4,829,767"
New Zealand,"4,822,233"
Mauritania,"4,649,658"
Panama,"4,314,767"
Kuwait,"4,270,571"
Croatia,"4,105,267"
Moldova,"4,033,963"
Georgia,"3,989,167"
Eritrea,"3,546,421"
Uruguay,"3,473,730"
Bosnia and Herzegovina,"3,280,819"
Mongolia,"3,278,290"
Armenia,"2,963,243"
Jamaica,"2,961,167"
Qatar,"2,881,053"
