Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cruise Ship,Cuba,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Finland,France,French Guiana,Gabon,Georgia,Germany,Ghana,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guyana,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Latvia,Lebanon,Liberia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mauritania,Mayotte,Mexico,Moldova,Monaco,Mongolia,Morocco,Namibia,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Reunion,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Taiwan*,Tanzania,Thailand,The Bahamas,Togo,Trinidad and Tobago,Tunisia,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,occupied Palestinian territory
1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,548,1.0,1.0,1.0,1.0,1.0,1.0,61.0,3.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2.0,1.0,4.0,1.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2,1.0,1.0,2.0,1.0,1.0,1,1.0,4.0,2.0,4.0,1.0,2.0,2.0,
1.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,23.0,3.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,643,1.0,1.0,1.0,1.0,1.0,3.0,61.0,4.0,3.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,4.0,6.0,3.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1,2.0,1.0,6.0,1.0,1,2.0,11.0,1.0,1.0,,1.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,,3.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,3,,1.0,2.0,1.0,1.0,1,1.0,4.0,2.0,4.0,6.0,10.0,2.0,
1.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,33.0,3.0,1.0,1.0,,1.0,3.0,3.0,1.0,11.0,4.0,2.0,1.0,2.0,2.0,,4.0,920,1.0,,2.0,5.0,1.0,3.0,64.0,4.0,6.0,5.0,3.0,1.0,7.0,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,4.0,6.0,4.0,,3.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,18.0,5.0,1.0,1.0,2.0,8.0,2,2.0,1.0,9.0,3.0,2,,26.0,1.0,1.0,,1.0,1.0,1.0,4.0,6.0,3.0,2.0,1.0,,5.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,6.0,4.0,2.0,11.0,1.0,6.0,1.0,5.0,5.0,,3.0,,5.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3,,5,,1.0,4.0,1.0,5.0,2,1.0,4.0,2.0,8.0,,17.0,2.0,
1.0,23.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,33.0,3.0,1.0,1.0,,1.0,10.0,3.0,2.0,11.0,7.0,2.0,1.0,2.0,2.0,,4.0,1406,1.0,,2.0,9.0,1.0,5.0,135.0,4.0,6.0,8.0,4.0,1.0,10.0,1.0,,1.0,,5.0,1.0,3.0,,,1.0,4.0,,4.0,,6.0,,,,1.0,4.0,1.0,2.0,4.0,6.0,2.0,2.0,28.0,7.0,2.0,1.0,2.0,8.0,2,,1.0,10.0,3.0,2,,43.0,1.0,1.0,,1.0,1.0,1.0,4.0,8.0,5.0,2.0,,,5.0,3.0,1.0,1.0,2.0,,1.0,10.0,1.0,1.0,1.0,15.0,4.0,4.0,27.0,5.0,7.0,2.0,5.0,8.0,,7.0,,6.0,3.0,2.0,,,,1.0,5.0,4.0,1.0,,4.0,3.0,16.0,,3.0,1.0,1.0,1.0,,1.0,8.0,3,,7,,1.0,,1.0,5.0,2,1.0,4.0,2.0,,,,2.0,
1.0,33.0,1.0,1.0,,8.0,1.0,,9.0,9.0,6.0,36.0,3.0,1.0,1.0,,1.0,10.0,3.0,2.0,37.0,7.0,2.0,1.0,2.0,2.0,,4.0,2075,3.0,,2.0,9.0,1.0,6.0,135.0,4.0,14.0,12.0,4.0,1.0,13.0,1.0,,1.0,,,1.0,4.0,,,3.0,5.0,,7.0,,,,,,,4.0,1.0,3.0,7.0,11.0,3.0,4.0,43.0,7.0,6.0,1.0,2.0,10.0,4,,1.0,,,3,,45.0,1.0,1.0,,1.0,1.0,1.0,7.0,8.0,6.0,3.0,,,5.0,3.0,1.0,1.0,2.0,,1.0,18.0,1.0,1.0,1.0,19.0,4.0,4.0,36.0,5.0,11.0,2.0,11.0,13.0,,8.0,,7.0,3.0,2.0,,,,8.0,5.0,4.0,5.0,,5.0,7.0,16.0,,3.0,1.0,1.0,,,1.0,18.0,4,,8,,1.0,,2.0,6.0,5,1.0,5.0,2.0,,,,2.0,
1.0,38.0,1.0,1.0,,12.0,1.0,,9.0,14.0,6.0,41.0,3.0,6.0,1.0,,1.0,11.0,5.0,2.0,40.0,23.0,3.0,1.0,2.0,4.0,,8.0,2877,9.0,,2.0,13.0,1.0,7.0,175.0,,26.0,18.0,6.0,2.0,13.0,1.0,,2.0,,,1.0,5.0,,,3.0,8.0,,7.0,,,,,,,,1.0,6.0,9.0,26.0,3.0,4.0,61.0,13.0,6.0,2.0,2.0,10.0,4,,1.0,,,4,,45.0,1.0,2.0,,1.0,1.0,1.0,8.0,9.0,6.0,3.0,,,5.0,6.0,1.0,1.0,2.0,,1.0,24.0,3.0,1.0,1.0,25.0,6.0,4.0,43.0,6.0,11.0,2.0,16.0,20.0,,8.0,,9.0,3.0,2.0,,,,10.0,5.0,4.0,12.0,,7.0,10.0,31.0,,7.0,1.0,1.0,,,1.0,27.0,5,,8,,1.0,,2.0,18.0,5,1.0,5.0,2.0,,,,2.0,
1.0,42.0,3.0,1.0,,12.0,1.0,,12.0,18.0,9.0,47.0,3.0,6.0,1.0,,1.0,,7.0,2.0,50.0,41.0,15.0,1.0,2.0,4.0,,8.0,5509,9.0,,,22.0,,7.0,175.0,,26.0,19.0,11.0,2.0,13.0,1.0,,2.0,,,1.0,5.0,,,3.0,10.0,,7.0,,,,,,,,1.0,,9.0,34.0,3.0,6.0,95.0,19.0,18.0,3.0,2.0,,7,,1.0,,,4,,45.0,2.0,2.0,,1.0,1.0,2.0,8.0,10.0,12.0,3.0,,,5.0,12.0,1.0,1.0,2.0,,1.0,38.0,3.0,1.0,1.0,32.0,6.0,5.0,55.0,6.0,15.0,2.0,22.0,30.0,,8.0,,,3.0,2.0,,,,16.0,11.0,4.0,19.0,,7.0,16.0,57.0,,13.0,1.0,1.0,,,1.0,42.0,8,,14,,1.0,,5.0,,5,1.0,5.0,2.0,,,,2.0,
1.0,51.0,5.0,1.0,,17.0,1.0,,12.0,21.0,9.0,49.0,5.0,6.0,1.0,,1.0,,11.0,4.0,54.0,51.0,,1.0,2.0,4.0,,13.0,6087,13.0,,,23.0,,9.0,218.0,,33.0,31.0,11.0,5.0,14.0,1.0,,3.0,,,1.0,5.0,,,3.0,12.0,,9.0,,,,,,,,1.0,,13.0,43.0,3.0,19.0,139.0,26.0,18.0,4.0,3.0,,7,,1.0,,,4,,56.0,6.0,2.0,,1.0,1.0,2.0,8.0,13.0,18.0,9.0,,,6.0,23.0,1.0,,2.0,,1.0,82.0,4.0,1.0,1.0,56.0,6.0,5.0,,6.0,28.0,2.0,31.0,30.0,,8.0,,,4.0,2.0,,,,21.0,15.0,4.0,35.0,,10.0,32.0,89.0,,17.0,1.0,1.0,,,1.0,56.0,8,,14,,1.0,,7.0,,5,1.0,5.0,3.0,,,,2.0,
1.0,,12.0,1.0,,19.0,1.0,,12.0,29.0,9.0,49.0,8.0,6.0,1.0,,1.0,,13.0,4.0,,52.0,,1.0,2.0,4.0,,23.0,8141,22.0,,,26.0,,10.0,285.0,,,31.0,24.0,5.0,15.0,1.0,,10.0,,,1.0,6.0,,,4.0,12.0,,31.0,,,,,,,,1.0,,13.0,50.0,3.0,27.0,245.0,32.0,19.0,7.0,3.0,,11,,1.0,,,4,,56.0,8.0,4.0,,1.0,1.0,3.0,8.0,13.0,21.0,9.0,,,6.0,23.0,1.0,,3.0,,1.0,128.0,5.0,1.0,1.0,87.0,12.0,5.0,,8.0,38.0,3.0,49.0,41.0,,15.0,,,6.0,2.0,,,,21.0,20.0,4.0,46.0,,13.0,44.0,141.0,,24.0,2.0,1.0,,,1.0,90.0,9,,14,,1.0,,7.0,,5,1.0,5.0,3.0,,,,2.0,
1.0,,12.0,1.0,,19.0,1.0,,13.0,41.0,11.0,52.0,,6.0,1.0,,1.0,,18.0,13.0,,,,1.0,2.0,4.0,,23.0,9802,34.0,,,27.0,,10.0,355.0,,,41.0,24.0,5.0,15.0,1.0,,10.0,,,1.0,6.0,,,4.0,12.0,,45.0,,,,,,,,1.0,,19.0,50.0,3.0,34.0,388.0,35.0,21.0,10.0,3.0,,15,,1.0,,,11,,56.0,10.0,10.0,,1.0,1.0,3.0,8.0,,30.0,15.0,,,7.0,,1.0,,5.0,,1.0,188.0,5.0,1.0,3.0,108.0,15.0,6.0,,,43.0,3.0,68.0,59.0,,18.0,,,9.0,2.0,,,,23.0,21.0,4.0,48.0,,16.0,54.0,181.0,,38.0,2.0,1.0,,,1.0,114.0,10,,19,,1.0,,16.0,,7,1.0,5.0,3.0,,,,6.0,
